Id,SleepDay,SleepHour,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4388161847,05/05/2016,00:00:00,1,471,495
4388161847,07/05/2016,12:00:00 a. m.,1,472,496
4388161847,08/05/2016,00:00:00,2,529,541
4388161847,09/05/2016,00:00:00,1,62,65
4388161847,10/05/2016,12:00:00 a. m.,1,354,375
4388161847,11/05/2016,00:00:00,1,469,494
4445114986,12/04/2016,00:00:00,2,429,457
4445114986,13/04/2016,12:00:00 a. m.,2,370,406
4445114986,14/04/2016,00:00:00,1,441,492
4445114986,15/04/2016,00:00:00,2,337,379
4445114986,16/04/2016,12:00:00 a. m.,1,462,499
4445114986,17/04/2016,00:00:00,1,98,107
4445114986,19/04/2016,00:00:00,2,388,424
4445114986,20/04/2016,12:00:00 a. m.,1,439,462
4445114986,21/04/2016,00:00:00,1,436,469
4445114986,22/04/2016,00:00:00,1,388,417
4445114986,25/04/2016,12:00:00 a. m.,1,328,345
4445114986,26/04/2016,00:00:00,2,353,391
4445114986,27/04/2016,00:00:00,1,332,374
4445114986,28/04/2016,12:00:00 a. m.,1,419,442
4445114986,29/04/2016,00:00:00,1,106,108
4445114986,30/04/2016,00:00:00,1,322,353
4445114986,01/05/2016,12:00:00 a. m.,2,439,459
4445114986,02/05/2016,00:00:00,1,502,542
4445114986,03/05/2016,00:00:00,2,417,450
4445114986,04/05/2016,12:00:00 a. m.,2,337,363
4445114986,05/05/2016,00:00:00,2,462,513
4445114986,06/05/2016,00:00:00,2,374,402
4445114986,07/05/2016,12:00:00 a. m.,2,401,436
4445114986,08/05/2016,00:00:00,1,361,391
4445114986,09/05/2016,00:00:00,1,457,533
4445114986,10/05/2016,12:00:00 a. m.,1,405,426
4445114986,11/05/2016,00:00:00,1,499,530
4445114986,12/05/2016,00:00:00,1,483,501
4558609924,21/04/2016,12:00:00 a. m.,1,126,137
4558609924,26/04/2016,00:00:00,1,103,121
4558609924,29/04/2016,00:00:00,1,171,179
4558609924,01/05/2016,12:00:00 a. m.,1,115,129
4558609924,08/05/2016,00:00:00,1,123,134
4702921684,12/04/2016,00:00:00,1,425,439
4702921684,13/04/2016,12:00:00 a. m.,2,400,430
4702921684,14/04/2016,00:00:00,1,384,415
4702921684,15/04/2016,00:00:00,1,253,257
4702921684,16/04/2016,12:00:00 a. m.,2,382,406
4702921684,17/04/2016,00:00:00,1,591,612
4702921684,18/04/2016,00:00:00,1,293,312
4702921684,19/04/2016,12:00:00 a. m.,1,457,487
4702921684,20/04/2016,00:00:00,1,454,468
4702921684,21/04/2016,00:00:00,1,425,434
4702921684,23/04/2016,12:00:00 a. m.,1,465,475
4702921684,24/04/2016,00:00:00,1,480,506
4702921684,25/04/2016,00:00:00,1,370,380
4702921684,26/04/2016,12:00:00 a. m.,1,421,429
4702921684,27/04/2016,00:00:00,1,432,449
4702921684,28/04/2016,00:00:00,1,442,461
4702921684,29/04/2016,12:00:00 a. m.,1,433,447
4702921684,30/04/2016,00:00:00,1,479,501
4702921684,03/05/2016,00:00:00,1,327,373
4702921684,04/05/2016,12:00:00 a. m.,1,412,434
4702921684,05/05/2016,00:00:00,1,414,428
4702921684,06/05/2016,00:00:00,1,404,449
4702921684,07/05/2016,12:00:00 a. m.,1,520,543
4702921684,07/05/2016,00:00:00,1,520,543
4702921684,09/05/2016,00:00:00,1,435,458
4702921684,10/05/2016,12:00:00 a. m.,1,416,431
4702921684,11/05/2016,00:00:00,1,354,366
4702921684,12/05/2016,00:00:00,1,404,442
5553957443,12/04/2016,12:00:00 a. m.,1,441,464
5553957443,13/04/2016,00:00:00,2,455,488
5553957443,14/04/2016,00:00:00,1,357,418
5553957443,15/04/2016,12:00:00 a. m.,1,377,409
5553957443,16/04/2016,00:00:00,2,651,686
5553957443,17/04/2016,00:00:00,1,350,402
5553957443,18/04/2016,12:00:00 a. m.,2,520,541
5553957443,19/04/2016,00:00:00,1,357,410
5553957443,20/04/2016,00:00:00,1,658,678
5553957443,21/04/2016,12:00:00 a. m.,1,399,431
5553957443,22/04/2016,00:00:00,1,322,353
5553957443,23/04/2016,00:00:00,2,631,725
5553957443,24/04/2016,12:00:00 a. m.,2,553,640
5553957443,25/04/2016,00:00:00,1,433,468
5553957443,26/04/2016,00:00:00,1,412,453
5553957443,27/04/2016,12:00:00 a. m.,1,347,391
5553957443,28/04/2016,00:00:00,1,421,457
5553957443,29/04/2016,00:00:00,1,450,495
5553957443,30/04/2016,12:00:00 a. m.,2,775,843
5553957443,01/05/2016,00:00:00,2,622,686
5553957443,02/05/2016,00:00:00,1,409,471
5553957443,03/05/2016,12:00:00 a. m.,1,380,429
5553957443,04/05/2016,00:00:00,1,447,470
5553957443,05/05/2016,00:00:00,1,419,464
5553957443,06/05/2016,12:00:00 a. m.,1,400,434
5553957443,07/05/2016,00:00:00,1,442,470
5553957443,08/05/2016,00:00:00,1,568,608
5553957443,09/05/2016,12:00:00 a. m.,1,453,494
5553957443,10/05/2016,00:00:00,1,418,443
5553957443,11/05/2016,00:00:00,1,463,486
5553957443,12/05/2016,12:00:00 a. m.,1,438,475
5577150313,12/04/2016,00:00:00,1,419,438
5577150313,13/04/2016,00:00:00,1,432,458
5577150313,14/04/2016,12:00:00 a. m.,1,477,497
5577150313,15/04/2016,00:00:00,1,392,413
5577150313,16/04/2016,00:00:00,1,406,445
5577150313,17/04/2016,12:00:00 a. m.,1,549,583
5577150313,18/04/2016,00:00:00,1,527,553
5577150313,19/04/2016,00:00:00,1,449,465
5577150313,20/04/2016,12:00:00 a. m.,1,447,480
5577150313,21/04/2016,00:00:00,1,414,437
5577150313,22/04/2016,00:00:00,1,338,366
5577150313,23/04/2016,12:00:00 a. m.,1,384,402
5577150313,24/04/2016,00:00:00,1,543,615
5577150313,25/04/2016,00:00:00,1,421,461
5577150313,26/04/2016,12:00:00 a. m.,1,354,377
5577150313,27/04/2016,00:00:00,1,424,452
5577150313,28/04/2016,00:00:00,1,361,372
5577150313,29/04/2016,12:00:00 a. m.,1,459,485
5577150313,30/04/2016,00:00:00,1,412,433
5577150313,01/05/2016,00:00:00,1,379,398
5577150313,02/05/2016,12:00:00 a. m.,2,525,553
5577150313,03/05/2016,00:00:00,1,508,543
5577150313,04/05/2016,00:00:00,1,603,634
5577150313,05/05/2016,12:00:00 a. m.,1,74,78
5577150313,10/05/2016,00:00:00,1,504,562
5577150313,11/05/2016,00:00:00,1,431,476
6117666160,16/04/2016,12:00:00 a. m.,1,380,398
6117666160,17/04/2016,00:00:00,2,336,350
6117666160,18/04/2016,00:00:00,2,493,510
6117666160,19/04/2016,12:00:00 a. m.,1,465,492
6117666160,20/04/2016,00:00:00,1,474,502
6117666160,21/04/2016,00:00:00,1,508,550
6117666160,22/04/2016,12:00:00 a. m.,1,480,546
6117666160,23/04/2016,00:00:00,1,492,539
6117666160,24/04/2016,00:00:00,1,353,367
6117666160,27/04/2016,12:00:00 a. m.,1,542,557
6117666160,28/04/2016,00:00:00,1,393,416
6117666160,29/04/2016,00:00:00,1,600,636
6117666160,01/05/2016,12:00:00 a. m.,1,507,575
6117666160,05/05/2016,00:00:00,1,392,415
6117666160,06/05/2016,00:00:00,2,658,698
6117666160,07/05/2016,12:00:00 a. m.,2,498,507
6117666160,08/05/2016,00:00:00,1,555,603
6117666160,09/05/2016,00:00:00,1,492,522
6775888955,13/04/2016,12:00:00 a. m.,1,235,260
6775888955,14/04/2016,00:00:00,1,423,441
6775888955,15/04/2016,00:00:00,1,391,406
6962181067,12/04/2016,12:00:00 a. m.,1,366,387
6962181067,13/04/2016,00:00:00,3,630,679
6962181067,14/04/2016,00:00:00,2,508,535
6962181067,15/04/2016,12:00:00 a. m.,1,370,386
6962181067,16/04/2016,00:00:00,1,357,366
6962181067,17/04/2016,00:00:00,1,427,446
6962181067,18/04/2016,12:00:00 a. m.,1,442,458
6962181067,19/04/2016,00:00:00,1,476,535
6962181067,20/04/2016,00:00:00,1,418,424
6962181067,21/04/2016,12:00:00 a. m.,1,451,457
6962181067,22/04/2016,00:00:00,1,425,435
6962181067,23/04/2016,00:00:00,1,528,546
6962181067,24/04/2016,12:00:00 a. m.,1,511,514
6962181067,25/04/2016,00:00:00,1,400,415
6962181067,26/04/2016,00:00:00,1,441,446
6962181067,27/04/2016,12:00:00 a. m.,1,455,467
6962181067,28/04/2016,00:00:00,1,440,453
6962181067,29/04/2016,00:00:00,1,433,447
6962181067,30/04/2016,12:00:00 a. m.,1,422,424
6962181067,01/05/2016,00:00:00,1,411,426
6962181067,02/05/2016,00:00:00,1,466,482
6962181067,03/05/2016,12:00:00 a. m.,1,394,418
6962181067,04/05/2016,00:00:00,1,442,455
6962181067,05/05/2016,00:00:00,1,467,491
6962181067,06/05/2016,12:00:00 a. m.,1,443,462
6962181067,07/05/2016,00:00:00,1,298,334
6962181067,08/05/2016,00:00:00,1,541,569
6962181067,09/05/2016,12:00:00 a. m.,1,489,497
6962181067,10/05/2016,00:00:00,1,469,481
6962181067,11/05/2016,00:00:00,1,452,480
6962181067,12/05/2016,12:00:00 a. m.,1,516,535
7007744171,16/04/2016,00:00:00,1,79,82
7007744171,01/05/2016,00:00:00,1,58,61
7086361926,12/04/2016,12:00:00 a. m.,1,514,525
7086361926,13/04/2016,00:00:00,1,451,465
7086361926,14/04/2016,00:00:00,1,472,476
7086361926,15/04/2016,12:00:00 a. m.,1,377,386
7086361926,19/04/2016,00:00:00,1,472,483
7086361926,20/04/2016,00:00:00,1,492,502
7086361926,21/04/2016,12:00:00 a. m.,1,390,411
7086361926,22/04/2016,00:00:00,1,428,448
7086361926,24/04/2016,00:00:00,1,681,704
7086361926,25/04/2016,12:00:00 a. m.,1,446,447
7086361926,26/04/2016,00:00:00,1,485,500
7086361926,27/04/2016,00:00:00,1,469,479
7086361926,28/04/2016,12:00:00 a. m.,1,354,367
7086361926,30/04/2016,00:00:00,1,485,489
7086361926,01/05/2016,00:00:00,1,388,407
7086361926,02/05/2016,12:00:00 a. m.,1,440,459
7086361926,03/05/2016,00:00:00,1,456,461
7086361926,04/05/2016,00:00:00,1,420,436
7086361926,06/05/2016,12:00:00 a. m.,1,322,333
7086361926,07/05/2016,00:00:00,1,530,548
7086361926,08/05/2016,00:00:00,1,481,510
7086361926,09/05/2016,12:00:00 a. m.,1,427,438
7086361926,11/05/2016,00:00:00,1,451,463
7086361926,12/05/2016,00:00:00,1,444,457
8053475328,20/04/2016,12:00:00 a. m.,1,486,493
8053475328,23/04/2016,00:00:00,1,331,337
8053475328,07/05/2016,00:00:00,1,74,75
8378563200,12/04/2016,12:00:00 a. m.,1,338,356
8378563200,13/04/2016,00:00:00,2,447,487
8378563200,14/04/2016,00:00:00,1,424,455
8378563200,15/04/2016,12:00:00 a. m.,1,513,533
8378563200,16/04/2016,00:00:00,2,611,689
8378563200,17/04/2016,00:00:00,2,525,591
8378563200,18/04/2016,12:00:00 a. m.,1,398,451
8378563200,19/04/2016,00:00:00,1,387,421
8378563200,20/04/2016,00:00:00,1,381,409
8378563200,21/04/2016,12:00:00 a. m.,1,396,417
8378563200,22/04/2016,00:00:00,1,441,469
8378563200,23/04/2016,00:00:00,1,565,591
8378563200,24/04/2016,12:00:00 a. m.,1,458,492
8378563200,25/04/2016,00:00:00,1,388,402
8378563200,25/04/2016,00:00:00,1,388,402
8378563200,26/04/2016,12:00:00 a. m.,1,550,584
8378563200,27/04/2016,00:00:00,1,531,600
8378563200,28/04/2016,00:00:00,1,506,556
8378563200,29/04/2016,12:00:00 a. m.,1,527,562
8378563200,30/04/2016,00:00:00,1,468,555
8378563200,01/05/2016,00:00:00,1,475,539
8378563200,02/05/2016,12:00:00 a. m.,1,351,385
8378563200,03/05/2016,00:00:00,1,405,429
8378563200,04/05/2016,00:00:00,1,441,477
8378563200,05/05/2016,12:00:00 a. m.,1,381,417
8378563200,06/05/2016,00:00:00,1,323,355
8378563200,07/05/2016,00:00:00,2,459,513
8378563200,08/05/2016,12:00:00 a. m.,1,545,606
8378563200,09/05/2016,00:00:00,1,359,399
8378563200,10/05/2016,00:00:00,1,342,391
8378563200,11/05/2016,12:00:00 a. m.,1,368,387
8378563200,12/05/2016,00:00:00,1,496,546
8792009665,12/04/2016,00:00:00,1,458,493
8792009665,13/04/2016,12:00:00 a. m.,1,531,552
8792009665,14/04/2016,00:00:00,1,486,503
8792009665,15/04/2016,00:00:00,1,363,377
8792009665,20/04/2016,12:00:00 a. m.,1,528,547
8792009665,22/04/2016,00:00:00,1,391,407
8792009665,23/04/2016,00:00:00,1,339,360
8792009665,27/04/2016,12:00:00 a. m.,1,423,428
8792009665,28/04/2016,00:00:00,1,402,416
8792009665,29/04/2016,00:00:00,1,398,406
8792009665,30/04/2016,12:00:00 a. m.,1,343,360
8792009665,01/05/2016,00:00:00,1,503,527
8792009665,02/05/2016,00:00:00,1,415,423
8792009665,03/05/2016,12:00:00 a. m.,1,516,545
8792009665,04/05/2016,00:00:00,1,439,463
