Id,Calories,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,StepTotal,SleepHour,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
5577150313,4274,2016-04-16,14269,10.65999985,10.65999985,0,14269,00:00:00,1,406,445,472,158,56,184,0,2.730000019,1.279999971,6.639999866
5577150313,4552,2016-04-17,12231,9.140000343,9.140000343,0,12231,12:00:00 a. m.,1,549,583,525,159,37,200,0,2.319999933,0.829999983,5.980000019
5577150313,4018,2016-04-21,10830,8.090000153,8.090000153,0,10830,00:00:00,1,414,437,670,175,74,110,0,2.779999971,1.659999967,3.650000095
5577150313,4392,2016-04-24,15764,11.77999973,11.77999973,0,15764,00:00:00,1,543,615,425,141,65,210,0,1.980000019,2.150000095,7.650000095
5577150313,4501,2016-04-30,12363,9.239999771,9.239999771,0,12363,00:00:00,1,412,433,621,163,45,207,0,2.609999895,0.790000021,5.829999924
5577150313,4546,2016-05-01,13368,9.989999771,9.989999771,0,13368,00:00:00,1,379,398,499,178,72,194,0,3.24000001,1.440000057,5.309999943
5577150313,3841,2016-05-10,8869,6.650000095,6.650000095,0,8869,00:00:00,1,504,562,639,194,37,104,0,3.349999905,0.75,2.559999943
6775888955,3727,2016-04-20,10771,7.71999979,7.71999979,0,10771,,,,,1079,178,113,70,0,2.220000029,1.74000001,3.769999981
6962181067,2162,2016-05-02,12912,8.539999962,8.539999962,0,12912,00:00:00,1,466,482,655,313,39,18,0,5.340000153,2,1.200000048
7007744171,2889,2016-04-22,15299,10.23999977,10.23999977,0,15299,,,,,1065,261,50,64,0,4.369999886,1.75999999,4.099999905
7086361926,2944,2016-04-19,10688,7.289999962,7.289999962,0,10688,00:00:00,1,472,483,671,124,69,67,0,2.50999999,1.230000019,3.529999971
7086361926,2846,2016-04-22,9753,6.53000021,6.53000021,0,9753,00:00:00,1,428,448,762,153,59,58,0,2.670000076,0.970000029,2.869999886
7086361926,2862,2016-04-28,11584,7.800000191,7.800000191,0,11584,12:00:00 a. m.,1,354,367,810,161,48,54,0,3.359999895,1.639999986,2.789999962
7086361926,2960,2016-05-09,13566,9.109999657,9.109999657,0,13566,12:00:00 a. m.,1,427,438,743,171,50,67,0,3.119999886,1.710000038,4.260000229
8253242879,1909,2016-04-25,6829,4.510000229,4.510000229,0,6829,,,,,1261,118,54,7,0,1.769999981,2.390000105,0.360000014
8583815059,2944,2016-04-22,8687,6.78000021,6.78000021,0,8687,,,,,1170,212,54,4,0,4.079999924,2.410000086,0.289999992
8583815059,3012,2016-04-23,9423,7.349999905,7.349999905,0,9423,,,,,1151,238,44,7,0,4.75,2.029999971,0.529999971
8583815059,2889,2016-04-24,8286,6.460000038,6.460000038,0,8286,,,,,1188,206,44,2,0,4.269999981,2.049999952,0.150000006
8583815059,3093,2016-04-26,10499,8.18999958,8.18999958,0,10499,,,,,1134,214,91,1,0,3.890000105,4.21999979,0.07
8583815059,3513,2016-04-29,15168,11.82999992,11.82999992,0,15168,,,,,1069,258,67,46,0,4.920000076,3,3.900000095
8583815059,2846,2016-05-10,8240,6.429999828,6.429999828,0,8240,,,,,1226,162,43,9,0,3.720000029,2.00999999,0.689999998
8583815059,2804,2016-05-11,8701,6.789999962,6.789999962,0,8701,,,,,1106,177,71,5,0,3.170000076,3.24000001,0.370000005
8792009665,2748,2016-04-23,5245,3.359999895,3.359999895,0,5245,00:00:00,1,339,360,795,232,45,8,0,2.75,0.439999998,0.159999996
1624580081,1432,2016-04-12,8163,5.309999943,5.309999943,0,8163,,,,,1294,146,0,0,0,5.309999943,0,0
1624580081,1411,2016-04-13,7007,4.550000191,4.550000191,0,7007,,,,,1292,148,0,0,0,4.550000191,0,0
1624580081,1572,2016-04-14,9107,5.920000076,5.920000076,0,9107,,,,,1204,236,0,0,0.01,5.909999847,0,0
1624580081,1344,2016-04-15,1510,0.980000019,0.980000019,0,1510,,,,,1344,96,0,0,0,0.970000029,0,0
1624580081,1463,2016-04-16,5370,3.49000001,3.49000001,0,5370,,,,,1264,176,0,0,0,3.49000001,0,0
1624580081,1435,2016-04-19,2916,1.899999976,1.899999976,0,2916,,,,,1299,141,0,0,0,1.899999976,0,0
1624580081,1446,2016-04-20,4974,3.230000019,3.230000019,0,4974,,,,,1289,151,0,0,0,3.230000019,0,0
1624580081,1467,2016-04-21,6349,4.130000114,4.130000114,0,6349,,,,,1254,186,0,0,0.02,4.110000134,0,0
1624580081,1470,2016-04-22,4026,2.619999886,2.619999886,0,4026,,,,,1241,199,0,0,0,2.599999905,0,0
1624580081,1562,2016-04-23,8538,5.550000191,5.550000191,0,8538,,,,,1213,227,0,0,0.01,5.539999962,0,0
1624580081,1492,2016-04-25,6497,4.21999979,4.21999979,0,6497,,,,,1238,202,0,0,0.02,4.199999809,0,0
1624580081,1402,2016-04-26,2826,1.840000033,1.840000033,0,2826,,,,,1300,140,0,0,0.01,1.830000043,0,0
1624580081,1404,2016-04-29,2390,1.549999952,1.549999952,0,2390,,,,,1290,150,0,0,0,1.549999952,0,0
1624580081,1334,2016-05-03,2100,1.370000005,1.370000005,0,2100,,,,,1344,96,0,0,0.02,1.340000033,0,0
1624580081,1368,2016-05-04,2193,1.429999948,1.429999948,0,2193,,,,,1322,118,0,0,0,1.419999957,0,0
1624580081,1370,2016-05-05,2470,1.610000014,1.610000014,0,2470,,,,,1323,117,0,0,0.02,1.580000043,0,0
1624580081,1341,2016-05-06,1727,1.120000005,1.120000005,0,1727,,,,,1338,102,0,0,0.01,1.120000005,0,0
1624580081,1474,2016-05-07,2104,1.370000005,1.370000005,0,2104,,,,,1258,182,0,0,0,1.370000005,0,0
1624580081,1427,2016-05-08,3427,2.230000019,2.230000019,0,3427,,,,,1288,152,0,0,0,2.220000029,0,0
1624580081,1328,2016-05-09,1732,1.129999995,1.129999995,0,1732,,,,,1349,91,0,0,0,1.129999995,0,0
1624580081,1393,2016-05-10,2969,1.929999948,1.929999948,0,2969,,,,,1301,139,0,0,0.01,1.919999957,0,0
1624580081,1359,2016-05-11,3134,2.039999962,2.039999962,0,3134,,,,,1328,112,0,0,0,2.039999962,0,0
1624580081,1002,2016-05-12,2971,1.929999948,1.929999948,0,2971,,,,,890,107,0,0,0.01,1.919999957,0,0
1644430081,2430,2016-04-20,2436,1.769999981,1.769999981,0,2436,,,,,1315,125,0,0,0.01,1.75999999,0,0
1644430081,2140,2016-04-21,1223,0.889999986,0.889999986,0,1223,,,,,1402,38,0,0,0.01,0.879999995,0,0
1644430081,2344,2016-04-22,3673,2.670000076,2.670000076,0,3673,,,,,1354,86,0,0,0.01,2.660000086,0,0
1644430081,2413,2016-04-24,3321,2.410000086,2.410000086,0,3321,,,,,1351,89,0,0,0,2.410000086,0,0
1644430081,2489,2016-04-27,3032,2.200000048,2.200000048,0,3032,,,,,1322,118,0,0,0,2.200000048,0,0
1644430081,2498,2016-04-29,3176,2.309999943,2.309999943,0,3176,00:00:00,1,119,127,1193,120,0,0,0,2.309999943,0,0
1644430081,2222,2016-05-04,2309,1.679999948,1.679999948,0,2309,,,,,1388,52,0,0,0.02,1.659999967,0,0
1644430081,2987,2016-05-08,6724,4.889999866,4.889999866,0,6724,00:00:00,1,137,154,991,295,0,0,0,4.880000114,0,0
1644430081,1276,2016-05-11,1329,0.970000029,0.970000029,0,1329,,,,,713,49,0,0,0.01,0.949999988,0,0
1844505072,2030,2016-04-12,6697,4.429999828,4.429999828,0,6697,,,,,1101,339,0,0,0,4.429999828,0,0
1844505072,1860,2016-04-13,4929,3.25999999,3.25999999,0,4929,,,,,1192,248,0,0,0,3.25999999,0,0
1844505072,2130,2016-04-14,7937,5.25,5.25,0,7937,,,,,843,373,0,0,0,5.230000019,0,0
1844505072,1725,2016-04-15,3844,2.539999962,2.539999962,0,3844,00:00:00,1,644,961,527,176,0,0,0,2.539999962,0,0
1844505072,1657,2016-04-16,3414,2.25999999,2.25999999,0,3414,,,,,1293,147,0,0,0,2.25999999,0,0
1844505072,1366,2016-04-19,197,0.129999995,0.129999995,0,197,,,,,1430,10,0,0,0,0.129999995,0,0
1844505072,1827,2016-04-22,5372,3.549999952,3.549999952,0,5372,,,,,1220,220,0,0,0,3.549999952,0,0
1844505072,1645,2016-04-23,3570,2.359999895,2.359999895,0,3570,,,,,1301,139,0,0,0,2.359999895,0,0
1844505072,1992,2016-04-28,6907,4.570000172,4.570000172,0,6907,,,,,1138,302,0,0,0,4.559999943,0,0
1844505072,1856,2016-04-29,4920,3.25,3.25,0,4920,,,,,1082,247,0,0,0,3.25,0,0
1844505072,1763,2016-04-30,4014,2.670000076,2.670000076,0,4014,12:00:00 a. m.,1,722,961,218,184,0,0,0,2.650000095,0,0
1844505072,1549,2016-05-04,2080,1.370000005,1.370000005,0,2080,,,,,1353,87,0,0,0,1.370000005,0,0
1844505072,1589,2016-05-05,2237,1.480000019,1.480000019,0,2237,,,,,1320,120,0,0,0,1.480000019,0,0
1844505072,1351,2016-05-06,44,0.029999999,0.029999999,0,44,,,,,1438,2,0,0,0,0.029999999,0,0
1927972279,2220,2016-04-12,678,0.469999999,0.469999999,0,678,00:00:00,3,750,775,734,55,0,0,0,0.469999999,0,0
1927972279,2151,2016-04-13,356,0.25,0.25,0,356,12:00:00 a. m.,1,398,422,986,32,0,0,0,0.25,0,0
1927972279,2221,2016-04-15,980,0.680000007,0.680000007,0,980,00:00:00,2,475,499,941,51,0,0,0,0.680000007,0,0
1927972279,2111,2016-04-18,244,0.170000002,0.170000002,0,244,,,,,1423,17,0,0,0,0.170000002,0,0
1927972279,2093,2016-04-22,149,0.100000001,0.100000001,0,149,,,,,1430,10,0,0,0,0.100000001,0,0
1927972279,2499,2016-04-23,2945,2.039999962,2.039999962,0,2945,,,,,1295,145,0,0,0,2.039999962,0,0
1927972279,2100,2016-04-25,152,0.109999999,0.109999999,0,152,,,,,1303,12,0,0,0,0.109999999,0,0
1927972279,2351,2016-04-28,1675,1.159999967,1.159999967,0,1675,12:00:00 a. m.,1,166,178,1167,95,0,0,0,1.159999967,0,0
1927972279,2195,2016-05-03,1326,0.920000017,0.920000017,0,1326,,,,,1413,17,0,10,0,0.180000007,0,0.730000019
1927972279,2338,2016-05-04,1786,1.24000001,1.24000001,0,1786,,,,,1353,87,0,0,0,1.24000001,0,0
1927972279,2383,2016-05-06,2091,1.450000048,1.450000048,0,2091,,,,,1332,108,0,0,0,1.450000048,0,0
1927972279,2229,2016-05-07,1510,1.039999962,1.039999962,0,1510,,,,,1392,48,0,0,0,1.039999962,0,0
2022484408,2069,2016-04-23,6001,4.210000038,4.210000038,0,6001,,,,,1191,249,0,0,0,4.210000038,0,0
2022484408,1848,2016-05-08,3292,2.309999943,2.309999943,0,3292,,,,,1305,135,0,0,0,2.309999943,0,0
2026352035,1521,2016-04-13,4993,3.099999905,3.099999905,0,4993,00:00:00,1,531,565,663,238,0,0,0,3.099999905,0,0
2026352035,1431,2016-04-14,3335,2.069999933,2.069999933,0,3335,12:00:00 a. m.,1,545,568,653,197,0,0,0,2.049999952,0,0
2026352035,1444,2016-04-15,3821,2.369999886,2.369999886,0,3821,00:00:00,1,523,573,687,188,0,0,0,2.369999886,0,0
2026352035,1373,2016-04-16,2547,1.580000043,1.580000043,0,2547,00:00:00,1,524,567,728,150,0,0,0,1.580000043,0,0
2026352035,1214,2016-04-17,838,0.519999981,0.519999981,0,838,12:00:00 a. m.,1,437,498,1053,60,0,0,0,0.519999981,0,0
2026352035,1419,2016-04-18,3325,2.059999943,2.059999943,0,3325,,,,,1062,182,0,0,0,2.059999943,0,0
2026352035,1356,2016-04-19,2424,1.5,1.5,0,2424,00:00:00,1,498,540,785,141,0,0,0,1.5,0,0
2026352035,1667,2016-04-20,7222,4.480000019,4.480000019,0,7222,00:00:00,1,461,510,623,327,0,0,0,4.480000019,0,0
2026352035,1370,2016-04-21,2467,1.529999971,1.529999971,0,2467,12:00:00 a. m.,1,477,514,749,153,0,0,0,1.529999971,0,0
2026352035,1399,2016-04-22,2915,1.809999943,1.809999943,0,2915,00:00:00,1,520,545,712,162,0,0,0,1.809999943,0,0
2026352035,1916,2016-04-23,12357,7.710000038,7.710000038,0,12357,00:00:00,1,522,554,458,432,0,0,0,7.710000038,0,0
2026352035,1401,2016-04-24,3490,2.160000086,2.160000086,0,3490,12:00:00 a. m.,1,555,591,704,164,0,0,0,2.160000086,0,0
2026352035,1576,2016-04-25,6017,3.730000019,3.730000019,0,6017,00:00:00,1,506,531,821,260,0,0,0,3.730000019,0,0
2026352035,1595,2016-04-26,5933,3.680000067,3.680000067,0,5933,,,,,1018,288,0,0,0,3.680000067,0,0
2026352035,1593,2016-04-27,6088,3.769999981,3.769999981,0,6088,00:00:00,1,508,545,586,286,0,0,0,3.769999981,0,0
2026352035,1649,2016-04-28,6375,3.950000048,3.950000048,0,6375,12:00:00 a. m.,1,513,545,626,331,0,0,0,3.950000048,0,0
2026352035,1692,2016-04-29,7604,4.710000038,4.710000038,0,7604,00:00:00,1,490,510,492,352,0,0,0,4.710000038,0,0
2026352035,1506,2016-04-30,4729,2.930000067,2.930000067,0,4729,00:00:00,1,573,607,594,233,0,0,0,2.930000067,0,0
2026352035,1447,2016-05-01,3609,2.279999971,2.279999971,0,3609,12:00:00 a. m.,1,527,546,716,191,0,0,0,2.279999971,0,0
2026352035,1690,2016-05-02,7018,4.349999905,4.349999905,0,7018,00:00:00,1,511,543,716,355,0,0,0,4.349999905,0,0
2026352035,1604,2016-05-03,5992,3.720000029,3.720000029,0,5992,,,,,981,304,0,0,0,3.720000029,0,0
2026352035,1658,2016-05-04,6564,4.070000172,4.070000172,0,6564,00:00:00,1,538,560,530,345,0,0,0,4.070000172,0,0
2026352035,1926,2016-05-05,12167,7.539999962,7.539999962,0,12167,12:00:00 a. m.,1,468,485,479,475,0,0,0,7.539999962,0,0
2026352035,1736,2016-05-06,8198,5.079999924,5.079999924,0,8198,00:00:00,1,524,548,511,383,0,0,0,5.079999924,0,0
2026352035,1555,2016-05-08,5528,3.450000048,3.450000048,0,5528,12:00:00 a. m.,1,541,568,610,258,0,0,0,3.450000048,0,0
2026352035,1869,2016-05-09,10685,6.619999886,6.619999886,0,10685,00:00:00,1,531,556,543,401,0,0,0,6.599999905,0,0
2026352035,1141,2016-05-10,254,0.159999996,0.159999996,0,254,00:00:00,1,357,380,1002,17,0,0,0,0.159999996,0,0
2026352035,1698,2016-05-11,8580,5.320000172,5.320000172,0,8580,12:00:00 a. m.,1,523,553,569,330,0,0,0,5.320000172,0,0
2026352035,1364,2016-05-12,8891,5.510000229,5.510000229,0,8891,00:00:00,1,456,485,330,343,0,0,0,5.510000229,0,0
2320127002,1724,2016-04-16,5057,3.410000086,3.410000086,0,5057,,,,,1245,195,0,0,0,3.400000095,0,0
2320127002,1852,2016-04-17,6198,4.179999828,4.179999828,0,6198,,,,,1191,249,0,0,0,4.179999828,0,0
2320127002,1851,2016-04-22,5583,3.75999999,3.75999999,0,5583,,,,,1174,266,0,0,0,3.75999999,0,0
2320127002,1804,2016-04-23,5079,3.420000076,3.420000076,0,5079,00:00:00,1,61,69,1129,242,0,0,0,3.420000076,0,0
2320127002,1725,2016-04-24,4165,2.809999943,2.809999943,0,4165,,,,,1236,204,0,0,0,2.799999952,0,0
2320127002,1632,2016-04-26,3409,2.299999952,2.299999952,0,3409,,,,,1293,147,0,0,0,2.299999952,0,0
2320127002,1481,2016-04-27,1715,1.159999967,1.159999967,0,1715,,,,,1358,82,0,0,0,1.159999967,0,0
2320127002,1473,2016-04-28,1532,1.029999971,1.029999971,0,1532,,,,,1364,76,0,0,0,1.029999971,0,0
2320127002,1410,2016-04-29,924,0.620000005,0.620000005,0,924,,,,,1395,45,0,0,0,0.620000005,0,0
2320127002,1779,2016-04-30,4571,3.079999924,3.079999924,0,4571,,,,,1206,234,0,0,0,3.069999933,0,0
2320127002,1403,2016-05-01,772,0.519999981,0.519999981,0,772,,,,,1400,40,0,0,0,0.519999981,0,0
2320127002,1426,2016-05-04,1201,0.810000002,0.810000002,0,1201,,,,,1388,52,0,0,0,0.810000002,0,0
2320127002,1742,2016-05-06,4878,3.289999962,3.289999962,0,4878,,,,,1236,204,0,0,0,3.289999962,0,0
2320127002,1972,2016-05-07,7379,4.96999979,4.96999979,0,7379,,,,,1121,319,0,0,0,4.96999979,0,0
2320127002,1821,2016-05-08,5161,3.480000019,3.480000019,0,5161,,,,,1193,247,0,0,0,3.470000029,0,0
2320127002,1630,2016-05-09,3090,2.079999924,2.079999924,0,3090,,,,,1295,145,0,0,0,2.079999924,0,0
2320127002,1899,2016-05-10,6227,4.199999809,4.199999809,0,6227,,,,,1150,290,0,0,0,4.199999809,0,0
2347167796,2187,2016-04-24,9471,6.260000229,6.260000229,0,9471,12:00:00 a. m.,1,442,459,584,360,0,0,0,6.260000229,0,0
2347167796,1861,2016-04-26,5980,3.950000048,3.950000048,0,5980,00:00:00,1,436,490,732,227,0,0,0,3.950000048,0,0
2347167796,1854,2016-04-28,5439,3.599999905,3.599999905,0,5439,00:00:00,1,408,450,764,229,0,0,0,3.599999905,0,0
2347167796,403,2016-04-29,42,0.029999999,0.029999999,0,42,00:00:00,1,411,473,2,4,0,0,0,0.029999999,0,0
2873212765,1893,2016-04-14,7910,5.320000172,5.320000172,0,7910,,,,,1109,331,0,0,0,5.320000172,0,0
2873212765,2063,2016-04-15,8482,5.699999809,5.699999809,0,8482,,,,,992,448,0,0,0.01,5.690000057,0,0
2873212765,1956,2016-04-19,7948,5.369999886,5.369999886,0,7948,,,,,1051,389,0,0,0,5.360000134,0,0
2873212765,1966,2016-04-27,3516,2.359999895,2.359999895,0,3516,,,,,1197,197,0,46,0,2.359999895,0,0
2873212765,2015,2016-05-04,8278,5.559999943,5.559999943,0,8278,,,,,1020,420,0,0,0,5.559999943,0,0
2873212765,2096,2016-05-08,8168,5.539999962,5.539999962,0,8168,,,,,1068,326,0,46,0,2.640000105,0,2.900000095
2873212765,1906,2016-05-09,7726,5.190000057,5.190000057,0,7726,,,,,1095,345,0,0,0,5.190000057,0,0
2873212765,1962,2016-05-10,8275,5.559999943,5.559999943,0,8275,,,,,1067,373,0,0,0.01,5.550000191,0,0
2873212765,1431,2016-05-12,7566,5.110000134,5.110000134,0,7566,,,,,720,268,0,0,0,5.110000134,0,0
3372868164,1788,2016-04-12,4747,3.24000001,3.24000001,0,4747,,,,,1160,280,0,0,0.01,3.230000019,0,0
3372868164,1908,2016-04-15,7451,5.079999924,5.079999924,0,7451,,,,,1105,335,0,0,0.02,5.059999943,0,0
3372868164,1908,2016-04-16,6905,4.730000019,4.730000019,0,6905,,,,,1084,356,0,0,0.029999999,4.699999809,0,0
3372868164,1985,2016-04-19,7711,5.260000229,5.260000229,0,7711,,,,,1064,376,0,0,0.02,5.239999771,0,0
3372868164,1669,2016-04-22,3843,2.619999886,2.619999886,0,3843,,,,,1234,206,0,0,0.01,2.609999895,0,0
3372868164,2010,2016-04-25,5995,4.090000153,4.090000153,0,5995,,,,,1024,416,0,0,0,4.090000153,0,0
3372868164,1972,2016-04-28,5512,3.75999999,3.75999999,0,5512,,,,,1055,385,0,0,0,3.75999999,0,0
3372868164,2044,2016-04-29,9135,6.230000019,6.230000019,0,9135,,,,,1038,402,0,0,0.01,6.21999979,0,0
3372868164,1237,2016-05-01,3077,2.099999905,2.099999905,0,3077,,,,,842,172,0,0,0,2.089999914,0,0
3977333714,1397,2016-04-21,6093,4.079999924,4.079999924,0,6093,12:00:00 a. m.,1,332,512,712,242,0,0,0,4.059999943,0,0
3977333714,52,2016-05-11,746,0.5,0.5,0,746,,,,,13,9,0,4,0,0.129999995,0,0.370000005
4020332650,2011,2016-04-14,108,0.079999998,0.079999998,0,108,,,,,1437,3,0,0,0,0.029999999,0,0
4020332650,1995,2016-04-18,62,0.039999999,0.039999999,0,62,,,,,1438,2,0,0,0,0.039999999,0,0
4020332650,2828,2016-05-03,4496,3.220000029,3.220000029,0,4496,12:00:00 a. m.,1,322,332,950,174,0,0,0.050000001,3.150000095,0,0
4020332650,2704,2016-05-06,4369,3.130000114,3.130000114,0,4369,12:00:00 a. m.,1,385,408,855,177,0,0,0.01,3.099999905,0,0
4020332650,2975,2016-05-07,6132,4.400000095,4.400000095,0,6132,,,,,1256,184,0,0,0,3.579999924,0,0
4020332650,3089,2016-05-08,5862,4.199999809,4.199999809,0,5862,00:00:00,1,364,402,775,263,0,0,0,4.150000095,0,0
4020332650,2926,2016-05-10,5546,3.980000019,3.980000019,0,5546,00:00:00,1,442,494,774,206,0,0,0.039999999,3.869999886,0,0
4020332650,1120,2016-05-12,590,0.419999987,0.419999987,0,590,,,,,721,21,0,0,0,0.409999996,0,0
4057192912,2286,2016-04-12,5394,4.03000021,4.03000021,0,5394,,,,,1276,164,0,0,0,3.940000057,0,0
4057192912,2306,2016-04-13,5974,4.46999979,4.46999979,0,5974,,,,,1280,160,0,0,0,4.369999886,0,0
4319703577,2115,2016-04-12,7753,5.199999809,5.199999809,0,7753,,,,,1440,0,0,0,0,0,0,0
4319703577,1985,2016-04-15,5664,3.799999952,3.799999952,0,5664,00:00:00,1,465,491,752,228,0,0,0,3.799999952,0,0
4319703577,1884,2016-04-16,4744,3.180000067,3.180000067,0,4744,00:00:00,1,506,522,724,194,0,0,0,3.180000067,0,0
4319703577,1464,2016-04-17,29,0.02,0.02,0,29,,,,,1363,3,0,0,0,0.02,0,0
4319703577,2200,2016-04-19,8925,5.989999771,5.989999771,0,8925,00:00:00,2,461,498,604,311,0,0,0,5.989999771,0,0
4319703577,1792,2016-04-21,3702,2.480000019,2.480000019,0,3702,12:00:00 a. m.,1,59,65,1265,34,0,0,0,0.349999994,0,0
4319703577,1945,2016-04-23,4935,3.309999943,3.309999943,0,4935,00:00:00,1,692,722,546,233,0,0,0,3.309999943,0,0
